id,true_positives,true_negatives,false_positives,false_negatives,test_affirmation,test_effectiveness,accuracy,Correct_crt-widgets,Correct_crt-orchard,Correct_crt-eraser,Correct_sortDescending,Correct_isPalindrome,TestCase_sortDescending,CRT Total,Inspection Total
1,167,0,160,0,1,0,0.510703364,1,1,1,1,1,1,1,1
2,157,74,86,10,0.94011976,0.4625,0.706422018,1,0,0,0,1,0,0.333333333,0.333333333
3,147,108,52,20,0.880239521,0.675,0.779816514,0,0,0,0,0,0,0,0
4,118,107,53,49,0.706586826,0.66875,0.688073394,0,0,0,0,1,0,0,0.333333333
5,83,137,23,84,0.497005988,0.85625,0.672782875,0,0,0,1,0,1,0,0.666666667
6,122,98,62,45,0.730538922,0.6125,0.672782875,1,1,1,1,0,1,1,0.666666667
7,79,136,24,88,0.473053892,0.85,0.657492355,0,1,0,1,1,0,0.333333333,0.666666667
8,108,138,22,59,0.646706587,0.8625,0.752293578,1,1,1,1,1,1,1,1
9,111,133,27,56,0.664670659,0.83125,0.74617737,0,1,1,0,1,0,0.666666667,0.333333333
10,103,129,31,64,0.616766467,0.80625,0.709480122,1,1,0,1,0,1,0.666666667,0.666666667
11,154,116,44,13,0.922155689,0.725,0.825688073,0,1,1,1,1,1,0.666666667,1
12,113,105,55,54,0.676646707,0.65625,0.666666667,0,0,0,0,0,0,0,0
13,100,147,13,67,0.598802395,0.91875,0.755351682,1,1,1,1,0,1,1,0.666666667
14,152,131,29,15,0.910179641,0.81875,0.865443425,0,0,0,0,1,0,0,0.333333333
15,157,74,86,10,0.94011976,0.4625,0.706422018,1,1,1,1,1,1,1,1
16,167,2,158,0,1,0.0125,0.516819572,1,1,1,1,1,1,1,1
17,60,138,22,107,0.359281437,0.8625,0.605504587,1,1,1,1,1,1,1,1
18,111,54,106,56,0.664670659,0.3375,0.504587156,1,1,1,0,0,0,1,0
19,145,121,39,22,0.868263473,0.75625,0.813455657,1,1,1,0,1,0,1,0.333333333
20,144,121,39,23,0.862275449,0.75625,0.810397554,1,1,1,1,0,1,1,0.666666667
21,155,97,63,12,0.928143713,0.60625,0.770642202,1,1,1,1,1,1,1,1
22,164,38,122,3,0.982035928,0.2375,0.617737003,1,1,1,0,0,0,1,0
23,167,0,160,0,1,0,0.510703364,0,1,1,1,1,0,0.666666667,0.666666667
24,146,130,30,21,0.874251497,0.8125,0.844036697,1,0,1,0,1,0,0.666666667,0.333333333
25,143,139,21,24,0.856287425,0.86875,0.862385321,1,1,1,1,1,1,1,1
26,133,113,47,34,0.796407186,0.70625,0.752293578,1,1,1,1,1,1,1,1
27,167,0,160,0,1,0,0.510703364,1,1,1,1,1,1,1,1
28,145,132,28,22,0.868263473,0.825,0.847094801,1,1,1,1,1,0,1,0.666666667
29,47,139,21,120,0.281437126,0.86875,0.568807339,0,1,1,1,1,0,0.666666667,0.666666667
